"GlobalID"	"hafasID"	"Langname"	"Kurzname"	"Mast"	"Gleis/Steig"	"Geopos(Lat)"	"Geopos(Long)"	"Tarifzone"	"Barrierefreiheit"	"Linien"
"de:07314:1020"	"1020"	"Filmfestival"	"LIFF"	"102041"	"A"	49.4746281	8.4556081	"94"	"Keine"	"577-E"
"de:08221:1023"	"1023"	"Forstquelle"	"BGFQ"	"102311"	"B"	49.38073	8.70622	"125"	"Keine"	"39-39A"
"de:08221:1023"	"1023"	"Forstquelle"	"BGFQ"	"102312"	"A"	49.38135	8.7063189	"125"	"Keine"	"39-39A"
"de:08221:1023"	"1023"	"Forstquelle"	"BGFQ"	"102342"	"V1"	49.3803439	8.7041361	"125"	"Keine"	"39-39A"
"de:08221:1023"	"1023"	"Forstquelle"	"BGFQ"	"102343"	"V2"	49.3805661	8.7045131	"125"	"Keine"	"39-39A"
"de:08221:1033"	"1033"	"Ziegelhausen Altes Rathaus"	"ZHAR"	"103311"	"A"	49.4179289	8.7590231	"116"	"Keine"	"33-33,34-34,36-36,36-E"
"de:08221:1041"	"1041"	"Sitzbuchweg Nord"	"ZHSD"	"104111"	"A"	49.4388981	8.7530039	"116"	"Keine"	""
"de:08221:1041"	"1041"	"Sitzbuchweg Nord"	"ZHSD"	"104112"	"B"	49.43905	8.7530489	"116"	"Keine"	""
"de:08221:1042"	"1042"	"Sitzbuchweg Mitte"	"ZHSI"	"104211"	"A"	49.4367419	8.7533369	"116"	"Keine"	""
"de:08221:1042"	"1042"	"Sitzbuchweg Mitte"	"ZHSI"	"104212"	"B"	49.4368361	8.7534811	"116"	"Keine"	""
"de:08221:1046"	"1046"	"Kirchenbergweg"	"ZHKB"	"104611"	"A"	49.4335761	8.7505881	"116"	"Keine"	""
"de:08221:1046"	"1046"	"Kirchenbergweg"	"ZHKB"	"104612"	"B"	49.4335761	8.7505881	"116"	"Keine"	""
"de:08221:1049"	"1049"	"Ezanvillestraße"	"ZHEZ"	"104911"	"A"	49.4316889	8.7501211	"116"	"Keine"	""
"de:08221:1049"	"1049"	"Ezanvillestraße"	"ZHEZ"	"104912"	"B"	49.4316889	8.7501211	"116"	"Keine"	""
"de:08221:1062"	"1062"	"Gutleuthofhang"	"SBGH"	"106211"	"A"	49.4127511	8.76665	"116"	"Keine"	"36-36,36-E"
"de:08226:1067"	"1067"	"St.-Martin-Straße"	"EDSM"	"106712"	"A"	49.44572	8.6156881	"115"	"Keine"	"42-42,42-E,505-5"
"de:08221:1079"	"1079"	"Im Hofert"	"SBIH"	"107911"	"A"	49.4120669	8.7690031	"116"	"Keine"	"36-36,36-E"
"de:08221:1081"	"1081"	"Redtenbacherstraße"	"RSRB"	"108111"	"A"	49.362995	8.6814989	"125"	"Keine"	"27-27,27-E"
"de:08221:1084"	"1084"	"Sportplatz"	"SBSP"	"108411"	"A"	49.4107811	8.7718689	"116"	"Keine"	"36-36,36-E"
"de:08221:1086"	"1086"	"Bärenbach Nord"	"ZHBN"	"108612"	"A"	49.4146039	8.7743569	"116"	"Keine"	"36-36,36-E"
"de:08221:1088"	"1088"	"Im Anger"	"SBIA"	"108811"	"A"	49.4116519	8.766955	"116"	"Keine"	"36-36,36-E"
"de:08221:1091"	"1091"	"Bärenbach Süd"	"ZHBS"	"109111"	"A"	49.4135111	8.7755069	"116"	"Keine"	"36-36,36-E"
"de:08221:1091"	"1091"	"Bärenbach Süd"	"ZHBS"	"109141"	"A"	49.4135111	8.7755069	"116"	"Keine"	"36-36,36-E"
"de:08221:1093"	"1093"	"Gutleuthofweg"	"SBGW"	"109311"	"A"	49.41423	8.7642331	"116"	"Keine"	"36-36,36-E"
"de:08221:1094"	"1094"	"HITS"	"SBHI"	"109411"	"A"	49.4150419	8.7366281	"116"	"Keine"	"30-30,30-E"
"de:08221:1094"	"1094"	"HITS"	"SBHI"	"109412"	"B"	49.4150419	8.7366281	"116"	"Keine"	"30-30,30-E"
"de:08221:1102"	"1102"	"Villa Schmeil"	"SBVS"	"110211"	"A"	49.4158889	8.7321731	"125"	"Keine"	"30-30,30-E"
"de:08221:1102"	"1102"	"Villa Schmeil"	"SBVS"	"110212"	"B"	49.4158889	8.7321731	"125"	"Keine"	"30-30,30-E"
"de:08221:1104"	"1104"	"Hirtenaue"	"ZHHA"	"110411"	"A"	49.4263319	8.7597781	"116"	"Keine"	"36-36,36-E"
"de:08221:1106"	"1106"	"Schleifengrundweg"	"ZHSL"	"110611"	"B"	49.423895	8.7578461	"116"	"Keine"	"36-36,36-E"
"de:08221:1106"	"1106"	"Schleifengrundweg"	"ZHSL"	"110612"	"A"	49.4239011	8.7578189	"116"	"Keine"	"36-36,36-E"
"de:08221:1107"	"1107"	"Hirtenbrunnenweg"	"ZHHB"	"110711"	"B"	49.4226331	8.7563369	"116"	"Keine"	"36-36,36-E"
"de:08221:1107"	"1107"	"Hirtenbrunnenweg"	"ZHHB"	"110712"	"A"	49.4226269	8.7564	"116"	"Keine"	"36-36,36-E"
"de:08221:1108"	"1108"	"Am Bächenbuckel"	"ZHAB"	"110811"	"B"	49.4228961	8.760245	"116"	"Keine"	"36-36,36-E"
"de:08221:1108"	"1108"	"Am Bächenbuckel"	"ZHAB"	"110812"	"A"	49.4231589	8.7607481	"116"	"Keine"	"36-36,36-E"
"de:08221:1109"	"1109"	"Moselbrunnenweg"	"ZHMW"	"110911"	"B"	49.4221831	8.7604961	"116"	"Keine"	"36-36,36-E"
"de:08221:1109"	"1109"	"Moselbrunnenweg"	"ZHMW"	"110912"	"A"	49.4225511	8.7606939	"116"	"Keine"	"36-36,36-E"
"de:08226:1110"	"1110"	"Heddesheim-Hirschberg Bahnhof DB"	"GRDB"	"111011"	""	49.5092131	8.6329089	"95"	""	"627-627,627-E,629-629,630-630,630-E"
"de:08226:1110"	"1110"	"Heddesheim-Hirschberg Bahnhof DB"	"GRDB"	"111012"	""	49.5092481	8.6327289	"95"	""	"627-627,627-E,629-629,630-630,630-E"
"de:08226:1111"	"1111"	"Heddesheim Blumenstraße"	"HEBL"	"111111"	""	49.5050589	8.6083939	"95"	""	"627-627,629-629,630-630,630-E"
"de:08226:1111"	"1111"	"Heddesheim Blumenstraße"	"HEBL"	"111112"	""	49.5051119	8.6083219	"95"	""	"627-627,629-629,630-630,630-E"
"de:08226:1112"	"1112"	"Heddesheim Gewerbegebiet"	"HEGE"	"111211"	""	49.5086531	8.6279231	"95"	""	"627-627,629-629,630-630"
"de:08226:1112"	"1112"	"Heddesheim Gewerbegebiet"	"HEGE"	"111212"	""	49.50895	8.6292711	"95"	""	"627-627,629-629,630-630"
